R	G	B	lambda
-0.345073654	0.928803437	0.030982799	527
-0.335012715	0.940285452	0.027775652	528
-0.323879591	0.950894155	0.024813214	529
-0.311681308	0.960462155	0.022078209	530
-0.298462912	0.96884644	0.019555522	531
-0.284392241	0.976262776	0.017237693	532
-0.269595959	0.982861322	0.015114277	533
-0.254193498	0.988918869	0.013175829	534
-0.23821718	0.994628193	0.011410701	535
-0.221619407	1.000137851	0.009806585	536
-0.204250383	1.005392002	0.008349642	537
-0.185927204	1.010274693	0.007026863	538
-0.16648685	1.014670115	0.005826491	539
-0.145833059	1.018501795	0.004737933	540
-0.123958082	1.021674496	0.003751223	541
-0.100975835	1.024243349	0.002857593	542
-0.077083132	1.026245806	0.002048596	543
-0.052537438	1.027808033	0.001316483	544
-0.027600884	1.028988352	0.000653918	545
-0.002507558	1.029857631	5.42694E-05	546
0.02256802	1.030442286	-0.000488425	547
0.047522657	1.030744149	-0.00097944	548
0.07231794	1.030670947	-0.001423321	549
0.096975467	1.030207856	-0.001824114	550
0.121527285	1.029045036	-0.002184836	551
0.146101185	1.027532543	-0.002509399	552
0.170799931	1.025546522	-0.002800606	553
0.195737346	1.023014387	-0.003061019	554
0.221021794	1.019821989	-0.00329277	555
0.246773889	1.015908599	-0.003497875	556
0.273140309	1.01128942	-0.003678399	557
0.30029662	1.006030415	-0.003836447	558
0.328436225	1.000200302	-0.00397402	559
0.357763548	0.993869928	-0.004093015	560
0.388463707	0.987066485	-0.004195038	561
0.420668036	0.979752527	-0.004281281	562
0.454432638	0.971851283	-0.004352621	563
0.489756632	0.963337889	-0.004410024	564
0.526531357	0.954150048	-0.004454174	565
0.564574365	0.944255599	-0.004485786	566
0.603666957	0.933672796	-0.004505731	567
0.643581248	0.922445991	-0.004514936	568
0.684076475	0.910580372	-0.004514082	569
0.725024475	0.898167775	-0.004504219	570
0.766308473	0.885216986	-0.00448594	571
0.807899106	0.871759469	-0.004459902	572
0.849842306	0.857847709	-0.004426825	573
0.892193067	0.843514768	-0.004387295	574
0.934997887	0.828795065	-0.004341867	575
0.978287845	0.813743093	-0.004291171	576
1.021971231	0.798357871	-0.004235514	577
1.065887295	0.782641843	-0.004175192	578
1.109813326	0.766600294	-0.004110486	579
1.153506278	0.750257915	-0.004041758	580
1.196698448	0.733639265	-0.003969347	581
1.239143185	0.716784571	-0.003893659	582
1.280662767	0.699763337	-0.003815245	583
1.321105732	0.682638554	-0.003734605	584
1.360350942	0.665466478	-0.003652193	585
1.398276148	0.648281693	-0.003568333	586
1.43475243	0.63109928	-0.003483228	587
1.469739566	0.613959536	-0.003397211	588
1.503083891	0.596842027	-0.00331027	589
1.534818791	0.57979416	-0.003222758	590
1.564856382	0.562805355	-0.003134699	591
1.59297135	0.545815548	-0.003045835	592
1.619085716	0.528821093	-0.002956211	593
1.642902167	0.511749759	-0.002865484	594
1.664309616	0.494598457	-0.002773691	595
1.683163938	0.477358018	-0.00268083	596
1.69959901	0.46010038	-0.002587351	597
1.713880759	0.442924172	-0.002493853	598
1.726209619	0.425899945	-0.002400777	599
1.736834181	0.409102517	-0.002308583	600
1.745969377	0.392591067	-0.002217645	601
1.753470311	0.376341767	-0.002127862	602
1.759148574	0.360330638	-0.002039133	603
1.762895491	0.344558419	-0.001951489	604
1.764441347	0.329000645	-0.001864818	605
1.763723017	0.31367886	-0.001779267	606
1.76080513	0.298637076	-0.001695107	607
1.755879595	0.28393585	-0.001612703	608
1.749061459	0.269615723	-0.001532302	609
1.740509285	0.255717909	-0.001454157	610
1.730383081	0.242276952	-0.001378481	611
1.718644903	0.229294351	-0.001305297	612
1.705261253	0.216770884	-0.001234622	613
1.690203192	0.204706337	-0.001166466	614
1.673369352	0.193090439	-0.001100783	615
1.65478078	0.181926284	-0.001037598	616
1.634574856	0.171226402	-0.000976991	617
1.61281188	0.160990836	-0.000918971	618
1.589589129	0.151220333	-0.000863548	619
1.565109921	0.141922123	-0.000810771	620
1.53942633	0.133085836	-0.000760584	621
1.512624893	0.124702454	-0.000712943	622
1.48482392	0.116763684	-0.000667804	623
1.456103585	0.109256431	-0.000625097	624
1.426575449	0.102168752	-0.000584757	625
1.396283263	0.095482783	-0.000546685	626
1.3652736	0.089180652	-0.000510782	627
1.333473953	0.083236948	-0.000476905	628
1.300948148	0.077635717	-0.000444966	629
1.26767796	0.07235616	-0.000414848	630
1.23371721	0.067382197	-0.00038646	631
1.199156662	0.062699819	-0.000359726	632
1.164146622	0.058297923	-0.000334581	633
1.128836175	0.054164932	-0.000310963	634
1.093321811	0.050286645	-0.000288792	635
1.057751864	0.046651516	-0.000268002	636
1.022128727	0.043241933	-0.000248494	637
0.986513741	0.040043913	-0.000230188	638
0.950886036	0.037041119	-0.000212994	639
0.915325844	0.034222386	-0.000196846	640
0.879895074	0.031576634	-0.000181684	641
0.844756374	0.029097119	-0.000167469	642
0.81007685	0.026777533	-0.000154165	643
0.776005292	0.024611276	-0.000141737	644
0.742688841	0.022592071	-0.000130148	645
0.710220185	0.020712417	-0.000119356	646
0.678676669	0.018964959	-0.00010932	647
0.648105875	0.017342125	-9.9996E-05	648
0.618544005	0.015836688	-9.13443E-05	649
0.590030161	0.014442085	-8.33271E-05	650
0.562565154	0.01315135	-7.59048E-05	651
0.536106404	0.011957127	-6.90355E-05	652
0.510636247	0.010853257	-6.2684E-05	653
0.486089212	0.009833098	-5.68126E-05	654
0.462437982	0.008891348	-5.13908E-05	655
0.439654878	0.008023079	-4.63906E-05	656
0.41772181	0.007223861	-4.17868E-05	657
0.396628163	0.006489633	-3.75561E-05	658
0.376377587	0.005816746	-3.36777E-05	659
0.356951255	0.00520133	-3.01295E-05	660
0.338289687	0.004639132	-2.68871E-05	661
0.320451068	0.004127708	-2.39366E-05	662
